DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1342,Ondansetron,DDInter8,Abiraterone,Moderate
DDInter1382,Palonosetron,DDInter8,Abiraterone,Moderate
DDInter1389,Papaverine,DDInter8,Abiraterone,Major
DDInter1443,Phenolphthalein,DDInter8,Abiraterone,Moderate
DDInter1472,Pioglitazone,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1488,Polyethylene glycol (3350),Moderate
DDInter8,Abiraterone,DDInter1487,Polyethylene glycol (3350 with electrolytes),Moderate
DDInter1581,Repaglinide,DDInter8,Abiraterone,Moderate
DDInter1621,Rosiglitazone,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter136,Atropine,Moderate
DDInter225,Botulinum toxin type A,DDInter397,Clidinium,Moderate
DDInter225,Botulinum toxin type A,DDInter543,Dicyclomine,Moderate
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,Moderate
DDInter225,Botulinum toxin type A,DDInter896,Hyoscyamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1004,Kanamycin,Major
DDInter225,Botulinum toxin type A,DDInter1149,Mepenzolate,Moderate
DDInter225,Botulinum toxin type A,DDInter1180,Methscopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1489,Polymyxin B,Major
DDInter225,Botulinum toxin type A,DDInter1535,Propantheline,Moderate
DDInter225,Botulinum toxin type A,DDInter1647,Scopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1713,Streptomycin,Major
DDInter225,Botulinum toxin type A,DDInter1886,Trospium,Moderate
DDInter112,Aprepitant,DDInter1377,Paclitaxel,Moderate
DDInter124,Ascorbic acid,DDInter1377,Paclitaxel,Minor
DDInter380,Cimetidine,DDInter1377,Paclitaxel,Moderate
DDInter393,Clarithromycin,DDInter1377,Paclitaxel,Moderate
DDInter416,Clotrimazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter1377,Paclitaxel,DDInter629,Eliglustat,Moderate
DDInter1055,Levofloxacin,DDInter1377,Paclitaxel,Minor
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,Moderate
DDInter1209,Miconazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1615,Rolapitant,Moderate
DDInter1622,Rosuvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1675,Simvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1811,Tinidazole,DDInter1377,Paclitaxel,Moderate
DDInter1881,Troglitazone,DDInter1377,Paclitaxel,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter246,Budesonide,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter598,Doxycycline,DDInter991,Isotretinoin,Major
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1224,Minocycline,Major
DDInter1263,Naltrexone,DDInter991,Isotretinoin,Moderate
DDInter1300,Nitisinone,DDInter991,Isotretinoin,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1515,Prednisone,DDInter991,Isotretinoin,Moderate
DDInter1783,Tetracycline,DDInter991,Isotretinoin,Major
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter722,Fentanyl,DDInter59,Alvimopan,Major
DDInter112,Aprepitant,DDInter722,Fentanyl,Major
DDInter136,Atropine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter252,Bupropion,Major
DDInter380,Cimetidine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter393,Clarithromycin,Major
DDInter397,Clidinium,DDInter722,Fentanyl,Moderate
DDInter416,Clotrimazole,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter722,Fentanyl,DDInter518,Dexfenfluramine,Major
DDInter543,Dicyclomine,DDInter722,Fentanyl,Moderate
DDInter581,Dolasetron,DDInter722,Fentanyl,Major
DDInter601,Dronabinol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter632,Eluxadoline,Moderate
DDInter717,Fenfluramine,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter833,Glycerol phenylbutyrate,Moderate
DDInter722,Fentanyl,DDInter834,Glycopyrronium,Moderate
DDInter722,Fentanyl,DDInter840,Granisetron,Major
DDInter896,Hyoscyamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1093,Lorcaserin,Major
DDInter1126,Mazindol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1149,Mepenzolate,Moderate
DDInter722,Fentanyl,DDInter1180,Methscopolamine,Moderate
DDInter722,Fentanyl,DDInter1197,Metoclopramide,Moderate
DDInter722,Fentanyl,DDInter1201,Metreleptin,Moderate
DDInter722,Fentanyl,DDInter1209,Miconazole,Moderate
DDInter1244,Morphine,DDInter722,Fentanyl,Major
DDInter1245,Morphine (liposomal),DDInter722,Fentanyl,Major
DDInter1253,Nabilone,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1262,Naloxone,Moderate
DDInter1263,Naltrexone,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter1342,Ondansetron,Major
DDInter722,Fentanyl,DDInter1344,Opium,Moderate
DDInter1382,Palonosetron,DDInter722,Fentanyl,Major
DDInter1447,Phentermine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1487,Polyethylene glycol (3350 with electrolytes),Moderate
DDInter1535,Propantheline,DDInter722,Fentanyl,Moderate
DDInter1647,Scopolamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1665,Sibutramine,Major
DDInter1881,Troglitazone,DDInter722,Fentanyl,Moderate
DDInter1886,Trospium,DDInter722,Fentanyl,Moderate
DDInter58,Aluminum hydroxide,DDInter9,Acalabrutinib,Moderate
DDInter112,Aprepitant,DDInter9,Acalabrutinib,Major
DDInter20,Acetylsalicylic acid,DDInter9,Acalabrutinib,Major
DDInter271,Calcium carbonate,DDInter9,Acalabrutinib,Moderate
DDInter380,Cimetidine,DDInter9,Acalabrutinib,Moderate
DDInter393,Clarithromycin,DDInter9,Acalabrutinib,Major
DDInter416,Clotrimazole,DDInter9,Acalabrutinib,Moderate
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,Moderate
DDInter518,Dexfenfluramine,DDInter9,Acalabrutinib,Moderate
DDInter519,Dexlansoprazole,DDInter9,Acalabrutinib,Major
DDInter676,Esomeprazole,DDInter9,Acalabrutinib,Major
DDInter712,Famotidine,DDInter9,Acalabrutinib,Moderate
DDInter717,Fenfluramine,DDInter9,Acalabrutinib,Moderate
DDInter833,Glycerol phenylbutyrate,DDInter9,Acalabrutinib,Moderate
DDInter1022,Lansoprazole,DDInter9,Acalabrutinib,Major
DDInter1112,Magaldrate,DDInter9,Acalabrutinib,Moderate
DDInter1113,Magnesium carbonate,DDInter9,Acalabrutinib,Moderate
DDInter1118,Magnesium hydroxide,DDInter9,Acalabrutinib,Moderate
DDInter1119,Magnesium oxide,DDInter9,Acalabrutinib,Moderate
DDInter1201,Metreleptin,DDInter9,Acalabrutinib,Moderate
DDInter1209,Miconazole,DDInter9,Acalabrutinib,Moderate
DDInter1309,Nizatidine,DDInter9,Acalabrutinib,Moderate
DDInter1340,Omeprazole,DDInter9,Acalabrutinib,Major
DDInter1388,Pantoprazole,DDInter9,Acalabrutinib,Major
DDInter1559,Rabeprazole,DDInter9,Acalabrutinib,Major
DDInter1568,Ranitidine,DDInter9,Acalabrutinib,Moderate
DDInter1569,Ranitidine (bismuth citrate),DDInter9,Acalabrutinib,Moderate
DDInter1665,Sibutramine,DDInter9,Acalabrutinib,Moderate
DDInter1881,Troglitazone,DDInter9,Acalabrutinib,Moderate
DDInter11,Acarbose,DDInter15,Acetazolamide,Moderate
DDInter11,Acarbose,DDInter36,Albiglutide,Minor
DDInter11,Acarbose,DDInter1632,Salbutamol,Moderate
DDInter37,Alclometasone (topical),DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter50,Aloe Vera Leaf,Moderate
DDInter11,Acarbose,DDInter53,Alpelisib,Moderate
DDInter1076,Lipoic acid,DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter63,Amcinonide,Minor
DDInter11,Acarbose,DDInter90,Amprenavir,Moderate
DDInter11,Acarbose,DDInter98,Anisindione,Minor
DDInter11,Acarbose,DDInter118,Aripiprazole,Moderate
DDInter11,Acarbose,DDInter125,Asenapine,Moderate
DDInter11,Acarbose,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter127,Asparaginase Escherichia coli,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter129,Atazanavir,Moderate
DDInter11,Acarbose,DDInter170,Bedaquiline,Moderate
DDInter11,Acarbose,DDInter179,Bendroflumethiazide,Moderate
DDInter11,Acarbose,DDInter187,Benzphetamine,Moderate
DDInter11,Acarbose,DDInter188,Benzthiazide,Moderate
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter196,Betamethasone (topical),Minor
DDInter222,Bortezomib,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter228,Brentuximab vedotin,Moderate
DDInter11,Acarbose,DDInter231,Brexpiprazole,Moderate
DDInter11,Acarbose,DDInter233,Brigatinib,Moderate
DDInter11,Acarbose,DDInter248,Bumetanide,Moderate
DDInter11,Acarbose,DDInter264,Calaspargase pegol,Moderate
DDInter11,Acarbose,DDInter284,Cannabidiol,Moderate
DDInter11,Acarbose,DDInter300,Cariprazine,Moderate
DDInter11,Acarbose,DDInter340,Ceritinib,Moderate
DDInter11,Acarbose,DDInter24,Activated charcoal,Moderate
DDInter11,Acarbose,DDInter360,Chlorothiazide,Moderate
DDInter11,Acarbose,DDInter363,Chlorpromazine,Moderate
DDInter11,Acarbose,DDInter365,Chlorthalidone,Moderate
DDInter11,Acarbose,DDInter373,Chromic chloride,Moderate
DDInter11,Acarbose,DDInter374,Chromium picolinate,Moderate
DDInter11,Acarbose,DDInter383,Cinoxacin,Moderate
DDInter11,Acarbose,DDInter384,Ciprofloxacin,Moderate
DDInter11,Acarbose,DDInter393,Clarithromycin,Moderate
DDInter11,Acarbose,DDInter403,Clobetasol (topical),Minor
DDInter11,Acarbose,DDInter404,Clocortolone (topical),Minor
DDInter11,Acarbose,DDInter405,Clofarabine,Moderate
DDInter11,Acarbose,DDInter419,Clozapine,Moderate
DDInter11,Acarbose,DDInter439,Conjugated estrogens,Moderate
DDInter11,Acarbose,DDInter440,Conjugated estrogens (topical),Moderate
DDInter11,Acarbose,DDInter441,Copanlisib,Moderate
DDInter11,Acarbose,DDInter445,Corticotropin,Moderate
DDInter11,Acarbose,DDInter1782,Tetracosactide,Moderate
DDInter11,Acarbose,DDInter462,Dabrafenib,Moderate
DDInter11,Acarbose,DDInter472,Danazol,Moderate
DDInter11,Acarbose,DDInter482,Darunavir,Moderate
DDInter11,Acarbose,DDInter492,Deflazacort,Moderate
DDInter11,Acarbose,DDInter495,Delafloxacin,Moderate
DDInter11,Acarbose,DDInter509,Desonide (topical),Minor
DDInter11,Acarbose,DDInter510,Desoximetasone (topical),Minor
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter515,Dexamethasone (ophthalmic),Minor
DDInter11,Acarbose,DDInter516,Dexamethasone (topical),Minor
DDInter11,Acarbose,DDInter518,Dexfenfluramine,Moderate
DDInter11,Acarbose,DDInter535,Diazoxide,Moderate
DDInter11,Acarbose,DDInter540,Diclofenamide,Moderate
DDInter542,Dicoumarol,DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter545,Dienestrol (topical),Moderate
DDInter11,Acarbose,DDInter547,Diethylpropion,Moderate
DDInter548,Diethylstilbestrol,DDInter11,Acarbose,Moderate
DDInter550,Diflorasone (topical),DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter553,Digitoxin,Moderate
DDInter11,Acarbose,DDInter554,Digoxin,Moderate
DDInter11,Acarbose,DDInter577,Dobutamine,Moderate
DDInter11,Acarbose,DDInter584,Dopamine,Moderate
DDInter11,Acarbose,DDInter604,Drospirenone,Moderate
DDInter11,Acarbose,DDInter624,Efavirenz,Moderate
DDInter11,Acarbose,DDInter642,Enfortumab vedotin,Moderate
DDInter11,Acarbose,DDInter644,Enoxacin,Moderate
DDInter11,Acarbose,DDInter650,Ephedrine,Moderate
DDInter11,Acarbose,DDInter652,Epinephrine,Moderate
DDInter11,Acarbose,DDInter655,Epirubicin,Moderate
DDInter11,Acarbose,DDInter678,Esterified estrogens,Moderate
DDInter11,Acarbose,DDInter679,Estradiol,Moderate
DDInter11,Acarbose,DDInter680,Estradiol (topical),Moderate
DDInter11,Acarbose,DDInter681,Estramustine,Moderate
DDInter11,Acarbose,DDInter682,Estrone,Moderate
DDInter11,Acarbose,DDInter683,Estrone sulfate,Moderate
DDInter11,Acarbose,DDInter684,Estrone sulfate (topical),Moderate
DDInter11,Acarbose,DDInter686,Etacrynic acid,Moderate
DDInter11,Acarbose,DDInter690,Ethanol,Moderate
DDInter11,Acarbose,DDInter692,Ethinylestradiol,Moderate
DDInter11,Acarbose,DDInter701,Etonogestrel,Moderate
DDInter11,Acarbose,DDInter704,Everolimus,Moderate
DDInter11,Acarbose,DDInter717,Fenfluramine,Moderate
DDInter11,Acarbose,DDInter747,Fludrocortisone,Moderate
DDInter11,Acarbose,DDInter753,Fluocinonide (topical),Minor
DDInter11,Acarbose,DDInter760,Fluphenazine,Moderate
DDInter11,Acarbose,DDInter761,Flurandrenolide (topical),Minor
DDInter11,Acarbose,DDInter768,Fluticasone (topical),Minor
DDInter11,Acarbose,DDInter776,Formoterol,Moderate
DDInter11,Acarbose,DDInter777,Fosamprenavir,Moderate
DDInter11,Acarbose,DDInter783,Fosphenytoin,Moderate
DDInter11,Acarbose,DDInter790,Furosemide,Moderate
DDInter11,Acarbose,DDInter808,Garlic,Minor
DDInter11,Acarbose,DDInter809,Gatifloxacin,Major
DDInter11,Acarbose,DDInter813,Gemifloxacin,Moderate
DDInter11,Acarbose,DDInter820,Ginseng,Moderate
DDInter839,Goserelin,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter842,Grepafloxacin,Moderate
DDInter11,Acarbose,DDInter851,Halcinonide (topical),Minor
DDInter11,Acarbose,DDInter1898,Ulobetasol (topical),Minor
DDInter11,Acarbose,DDInter864,Histrelin,Moderate
DDInter11,Acarbose,DDInter883,Hydrochlorothiazide,Moderate
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter887,Hydrocortisone (topical),Minor
DDInter11,Acarbose,DDInter889,Hydroflumethiazide,Moderate
DDInter11,Acarbose,DDInter905,Idelalisib,Moderate
DDInter11,Acarbose,DDInter907,Iloperidone,Moderate
DDInter11,Acarbose,DDInter915,Indacaterol,Moderate
DDInter11,Acarbose,DDInter916,Indapamide,Moderate
DDInter917,Indinavir,DDInter11,Acarbose,Moderate
DDInter947,Interferon beta-1a,DDInter11,Acarbose,Moderate
DDInter948,Interferon beta-1b,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter986,Isoniazid,Moderate
DDInter11,Acarbose,DDInter987,Isoprenaline,Moderate
DDInter11,Acarbose,DDInter1021,Lanreotide,Moderate
DDInter11,Acarbose,DDInter1033,Leflunomide,Major
DDInter1042,Leuprolide,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1055,Levofloxacin,Moderate
DDInter11,Acarbose,DDInter1061,Levonorgestrel,Moderate
DDInter11,Acarbose,DDInter1064,Levothyroxine,Moderate
DDInter1074,Liothyronine,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1075,Liotrix,Moderate
DDInter11,Acarbose,DDInter1081,Lithium carbonate,Moderate
DDInter11,Acarbose,DDInter1084,Lomefloxacin,Moderate
DDInter11,Acarbose,DDInter1085,Lomitapide,Major
DDInter11,Acarbose,DDInter1093,Lorcaserin,Moderate
DDInter11,Acarbose,DDInter1102,Lumateperone,Moderate
DDInter11,Acarbose,DDInter1104,Lurasidone,Moderate
DDInter11,Acarbose,DDInter1126,Mazindol,Moderate
DDInter11,Acarbose,DDInter1137,Medroxyprogesterone acetate,Moderate
DDInter11,Acarbose,DDInter1141,Megestrol acetate,Moderate
DDInter11,Acarbose,DDInter1151,Mephentermine,Moderate
DDInter11,Acarbose,DDInter1159,Mesoridazine,Moderate
DDInter11,Acarbose,DDInter1346,Orciprenaline,Moderate
DDInter11,Acarbose,DDInter1162,Metaraminol,Moderate
DDInter11,Acarbose,DDInter1164,Metformin,Minor
DDInter11,Acarbose,DDInter1161,Metamfetamine,Moderate
DDInter11,Acarbose,DDInter1167,Methazolamide,Moderate
DDInter11,Acarbose,DDInter1168,Methdilazine,Moderate
DDInter11,Acarbose,DDInter1174,Methotrexate,Moderate
DDInter11,Acarbose,DDInter1175,Methotrimeprazine,Moderate
DDInter11,Acarbose,DDInter1176,Methoxamine,Moderate
DDInter11,Acarbose,DDInter1184,Methylcellulose,Minor
DDInter11,Acarbose,DDInter1191,Methylprednisolone,Moderate
DDInter11,Acarbose,DDInter1192,Methylprednisolone (topical),Minor
DDInter11,Acarbose,DDInter1199,Metolazone,Moderate
DDInter11,Acarbose,DDInter1214,Midostaurin,Moderate
DDInter11,Acarbose,DDInter1228,Mipomersen,Major
DDInter1247,Moxifloxacin,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1259,Nalidixic acid,Moderate
DDInter11,Acarbose,DDInter1263,Naltrexone,Moderate
DDInter1276,Nelfinavir,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1277,Neomycin,Moderate
DDInter11,Acarbose,DDInter1286,Niacin,Moderate
DDInter11,Acarbose,DDInter1289,Nicotinamide,Moderate
DDInter11,Acarbose,DDInter1311,Norepinephrine,Moderate
DDInter11,Acarbose,DDInter1312,Norethisterone,Moderate
DDInter11,Acarbose,DDInter1313,Norfloxacin,Moderate
DDInter11,Acarbose,DDInter1315,Norgestrel,Moderate
DDInter1323,Octreotide,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1325,Ofloxacin,Moderate
DDInter11,Acarbose,DDInter1326,Olanzapine,Moderate
DDInter11,Acarbose,DDInter1335,Omacetaxine mepesuccinate,Moderate
DDInter11,Acarbose,DDInter1348,Orlistat,Moderate
DDInter11,Acarbose,DDInter1381,Paliperidone,Moderate
DDInter1384,Pancrelipase,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1398,Pasireotide,Moderate
DDInter1404,Pegaspargase,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1409,Peginterferon beta-1a,Moderate
DDInter1412,Pegvisomant,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1420,Pentamidine,Moderate
DDInter11,Acarbose,DDInter1432,Perphenazine,Moderate
DDInter11,Acarbose,DDInter1435,Pexidartinib,Major
DDInter11,Acarbose,DDInter1439,Phendimetrazine,Moderate
DDInter1447,Phentermine,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1453,Phenylephrine,Moderate
